,model_name,init_time,readme_time,init_readme_diff
13354,DeepPavlov/bert-base-bg-cs-pl-ru-cased,2020-03-04,Fri Dec 11 22:26:23 2020 +0100,282 days 03:51:31
6273,ixa-ehu/berteus-base-cased,2020-03-05,Fri Dec 11 22:46:12 2020 +0100,281 days 10:11:59
14175,voidful/albert_chinese_base,2020-03-06,Fri Dec 11 23:04:22 2020 +0100,280 days 08:43:52
19581,voidful/albert_chinese_small,2020-03-06,Fri Dec 11 23:04:28 2020 +0100,280 days 08:44:50
7976,voidful/albert_chinese_tiny,2020-03-06,Fri Dec 11 23:04:32 2020 +0100,280 days 08:45:24
14503,voidful/albert_chinese_xlarge,2020-03-06,Fri Dec 11 23:04:35 2020 +0100,280 days 08:43:03
8757,voidful/albert_chinese_xxlarge,2020-03-06,Fri Dec 11 23:04:38 2020 +0100,280 days 08:41:42
2226,voidful/albert_chinese_large,2020-03-06,Fri Dec 11 23:04:25 2020 +0100,280 days 08:43:24
2857,dkleczek/bert-base-polish-uncased-v1,2020-03-08,Fri Dec 11 22:38:37 2020 +0100,278 days 07:21:29
10677,mrm8488/xlm-multi-finetuned-xquadv1,2020-03-09,Fri Dec 11 22:56:48 2020 +0100,277 days 02:05:17
22605,dbmdz/distilbert-base-turkish-cased,2020-03-10,Fri Dec 11 22:37:16 2020 +0100,276 days 03:51:35
10526,microsoft/DialoGPT-small,2020-03-10,Fri Dec 11 22:50:30 2020 +0100,276 days 03:23:10
3194,mrm8488/bert-multi-cased-finedtuned-xquad-tydiqa-goldp,2020-03-10,Fri Dec 11 22:52:55 2020 +0100,275 days 23:26:03
26824,microsoft/DialoGPT-large,2020-03-10,Fri Dec 11 22:50:23 2020 +0100,276 days 02:43:44
17191,microsoft/DialoGPT-medium,2020-03-10,Fri Dec 11 22:50:26 2020 +0100,276 days 03:23:32
12973,huggingface/CodeBERTa-small-v1,2020-03-12,Fri Dec 11 22:44:08 2020 +0100,274 days 06:26:13
1588,huggingface/CodeBERTa-language-id,2020-03-13,Fri Dec 11 22:44:05 2020 +0100,273 days 01:40:52
9272,mrm8488/spanbert-finetuned-squadv2,2020-03-14,Fri Dec 11 22:55:10 2020 +0100,272 days 20:10:00
20686,clue/roberta_chinese_3L312_clue_tiny,2020-03-15,Fri Dec 11 22:35:58 2020 +0100,271 days 09:52:06
13676,clue/albert_chinese_tiny,2020-03-15,Fri Dec 11 22:35:55 2020 +0100,271 days 09:55:16
420,clue/xlnet_chinese_large,2020-03-15,Fri Dec 11 22:36:08 2020 +0100,271 days 08:36:00
3872,clue/roberta_chinese_large,2020-03-15,Fri Dec 11 22:36:04 2020 +0100,271 days 09:23:39
18551,clue/albert_chinese_small,2020-03-15,Fri Dec 11 22:35:52 2020 +0100,271 days 09:56:19
13216,clue/roberta_chinese_base,2020-03-15,Fri Dec 11 22:36:01 2020 +0100,271 days 09:46:24
11212,google/bert_uncased_L-8_H-768_A-12,2020-03-16,Fri Dec 11 22:42:33 2020 +0100,269 days 22:48:56
12461,google/bert_uncased_L-12_H-512_A-8,2020-03-16,Fri Dec 11 22:41:40 2020 +0100,269 days 22:45:36
19268,google/bert_uncased_L-12_H-256_A-4,2020-03-16,Fri Dec 11 22:41:37 2020 +0100,269 days 22:45:53
24387,google/bert_uncased_L-10_H-256_A-4,2020-03-16,Fri Dec 11 22:41:24 2020 +0100,269 days 22:47:11
6935,google/bert_uncased_L-12_H-768_A-12,2020-03-16,Fri Dec 11 22:41:43 2020 +0100,269 days 22:45:09
25082,mrm8488/codeBERTaJS,2020-03-16,Fri Dec 11 22:53:37 2020 +0100,270 days 12:59:57
3333,google/bert_uncased_L-6_H-256_A-4,2020-03-16,Fri Dec 11 22:42:14 2020 +0100,269 days 22:50:34
29574,google/bert_uncased_L-4_H-512_A-8,2020-03-16,Fri Dec 11 22:42:04 2020 +0100,269 days 22:51:17
23087,google/bert_uncased_L-6_H-768_A-12,2020-03-16,Fri Dec 11 22:42:20 2020 +0100,269 days 22:49:59
29249,google/bert_uncased_L-8_H-512_A-8,2020-03-16,Fri Dec 11 22:42:30 2020 +0100,269 days 22:49:18
4125,google/bert_uncased_L-2_H-768_A-12,2020-03-16,Fri Dec 11 22:41:56 2020 +0100,269 days 22:44:22
24603,google/bert_uncased_L-2_H-512_A-8,2020-03-16,Fri Dec 11 22:41:52 2020 +0100,269 days 22:44:36
