Model,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
KM4STfulltext/SSCI-SciBERT-e2,,,,,,,,,,3,1,1305,203,22,18,3,22,22,19,7,2,2,0,5,27,
valurank/finetuned-distilbert-news-article-categorization,,,,,,,,,16,28,22,15,3,0,153,86,35,59,26,50,69,29,35,109,187,95
IDEA-CCNL/Randeng-Pegasus-523M-Summary-Chinese,,,,,,,,,,,,,,96,76,62,114,76,77,79,23,89,26,126,34,9
thusken/nb-bert-large-user-needs,,,,,,,,,,,,,,,,,,,,71,89,63,166,153,251,97
nvidia/groupvit-gcc-yfcc,,,,,,,,,,,,,2,0,112,234,161,237,190,109,80,21,153,48,52,12
IDEA-CCNL/Randeng-Pegasus-238M-Summary-Chinese,,,,,,,,,,,,,,27,37,75,52,57,74,37,18,63,216,182,80,22
DLochmelis33/22s-dl-sentiment-1,,,,,,,,,,,,9,4,7,3,16,18,39,4,1,8,6,0,180,684,1
ionite/DialoGPT-medium-MarkAI,,,,,,,,69,313,207,114,73,69,0,62,161,77,86,88,68,61,24,27,84,54,2
Aktsvigun/bert-base-aeslc,,,,,,,,,3,0,3,552,5,6,3,20,0,0,0,10,80,228,28,1,1,
antwortemir/shouko04,,,,,,,,,,,,,,,,,,,107,132,236,825,20,32,2,
Ahmed9275/Vit-Cifar100,,,,,,,,3,0,13,32,18,43,2,5,71,20,15,84,40,99,3,1,36,229,104
BlackSamorez/rudialogpt3_medium_based_on_gpt2_2ch,,,,,,,,,,22,231,379,111,45,67,25,12,59,54,35,36,25,21,60,12,3
ddemszky/uptake-model,,,,,,,,,,,,,,,,,,,2,131,173,47,79,175,99,31
