Model,2021-08-30T00:00:00.000Z,2021-09-06T00:00:00.000Z,2021-09-13T00:00:00.000Z,2021-09-20T00:00:00.000Z,2021-09-27T00:00:00.000Z,2021-10-04T00:00:00.000Z,2021-10-11T00:00:00.000Z,2021-10-18T00:00:00.000Z,2021-10-25T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-15T00:00:00.000Z,2021-11-22T00:00:00.000Z,2021-11-29T00:00:00.000Z,2021-12-06T00:00:00.000Z,2021-12-13T00:00:00.000Z,2021-12-20T00:00:00.000Z,2021-12-27T00:00:00.000Z,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z
google/fnet-base,12,32,44,300,260,140,231,193,384,276,279,268,161,0,680,125,152,93,140,187,127,93,71,170,166,148,268,1022,146,138,320,120,160,183,232,193,168,159,420,275,440,1064,556,0,175,100,161,333,178,132,77,113,40
Pensador777critico/DialoGPT-small-RickandMorty,556,759,646,709,443,453,309,437,361,205,164,221,149,3,394,268,45,52,238,176,84,79,156,300,197,340,254,120,223,132,206,226,154,116,187,87,132,170,178,167,86,93,79,90,56,69,83,72,72,51,75,90,61
facebook/wav2vec2-large-robust-ft-libri-960h,141,114,206,294,131,166,131,2914,2297,1964,244,134,128,0,140,190,59,246,66,126,148,137,173,353,365,101,64,111,223,443,35,42,5,58,37,38,171,166,32,88,39,108,27,27,43,33,75,58,102,104,118,33,60
PlanTL-GOB-ES/roberta-large-bne,,,,,,,,2,91,35,161,244,151,0,94,149,49,21,41,36,23,25,115,222,80,75,197,289,255,195,1363,246,238,322,394,4762,200,267,141,307,61,533,260,167,219,2459,1834,130,52,37,79,16,38
csebuetnlp/banglabert,,15,50,40,18,72,23,175,63,431,154,180,3207,0,28,28,37,28,6,146,22,24,9,34,172,400,244,61,29,133,32,547,82,3230,292,165,42,476,94,660,990,184,211,265,256,233,53,194,146,62,205,31,54
gerulata/slovakbert,,,,27,141,31,126,174,53,57,75,68,416,20,788,259,205,139,141,57,71,45,172,58,65,58,116,114,104,53,164,386,88,56,70,214,91,134,95,109,199,139,39,0,432,1345,484,258,126,415,251,54,771
ThomasSimonini/t5-end2end-question-generation,,,,9,40,69,34,41,23,18,120,97,45,0,342,55,19,2,178,24,17,35,17,70,41,83,63,77,32,92,83,110,33,70,100,62,55,83,95,55,134,179,1610,2049,229,773,72,664,227,122,70,95,59
fabriceyhc/bert-base-uncased-amazon_polarity,,,,,,7,105,212,161,54,115,13,46,0,43,42,27,2,86,107,23,36,34,965,2014,23,60,28,10,41,2577,1272,20,111,119,19,19,27,9,3,5,3,4,5,5,2,0,7,31,11,21,3,3
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,,,,,2,0,1,7,15,26,33,44,54,0,183,110,54,83,72,141,85,23,7,65,37,90,1142,224,1049,198,485,115,519,471,199,354,453,367,5592,140,139,61,233,295,404,200,123,320,443,211,109,118,28
cointegrated/rubert-base-cased-nli-threeway,,,,190,80,114,82,92,204,244,174,36,59,0,117,197,115,49,16,173,29,56,71,18,11,59,18,140,80,61,73,69,23,138,253,56,269,91,191,26,74,213,285,248,280,368,511,401,209,139,382,113,211
obi/deid_bert_i2b2,,,,,,,,,,89,0,0,0,0,0,8,27,0,0,1,0,0,10,257,29,5,36,283,3,53,47,14,21,49,55,61,20,32,77,494,344,5625,420,0,359,401,630,602,164,218,200,182,39
MaryaAI/opus-mt-ar-en-finetuned-ar-to-en,,21,25,0,0,24,9,0,9,0,1,65,95,0,160,98,148,53,345,173,73,44,459,368,92,61,154,166,257,253,526,146,151,93,47,203,362,115,92,53,78,44,358,338,106,64,94,137,75,37,68,25,21
qanastek/pos-french,,,,,,,,,,,,,168,0,13,34,2,6,7,31,15,10,21,42,29,12,19,4,22,6,35,12,8,40,2,39,285,103,17,14,48,43,15,0,66,6,85,162,1068,1187,1231,502,405
hf-internal-testing/tiny-random-rembert,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,466,578,513,364,445,354,410,546,796,786,589,443,372,365,397,0,397,286,394,338,450,295,98,39,38
m3hrdadfi/wav2vec2-large-xlsr-persian-v3,52,28,52,198,516,68,89,111,29,120,156,141,213,0,116,64,95,43,44,48,73,52,113,16,76,21,46,75,66,47,34,47,63,157,7,68,104,146,41,96,50,84,79,0,400,186,368,286,304,104,178,8,10
cointegrated/rut5-base-absum,,,,,,,,,,,15,43,63,0,70,47,231,160,49,102,64,17,38,227,74,93,119,35,73,53,60,120,99,91,131,150,43,999,6085,218,150,318,275,119,144,145,241,179,286,167,199,68,347
deepmind/language-perceiver,,,,,,,,,,,,,,,254,483,262,315,130,165,273,56,95,140,135,195,70,157,289,133,70,47,125,163,96,32,151,106,64,102,170,691,170,184,142,66,225,444,180,252,317,72,17
microsoft/unispeech-sat-base,,,,,,,,4,2,6,10,2,1,0,2,13,0,0,6,6,1,9,4,6,58,7,11,19,8,11,6,7,3,7,8,8,12,12,0,7,9,521,1253,0,1317,559,1092,994,588,847,936,393,259
indolem/indobertweet-base-uncased,,,61,63,111,37,12,55,53,50,116,84,73,0,164,61,82,7,96,94,66,81,87,111,68,224,150,348,183,148,399,304,256,240,509,113,133,162,81,83,52,112,52,0,150,1121,126,79,161,50,174,27,315
microsoft/beit-base-finetuned-ade-640-640,,,,,,,,23,13,25,28,126,73,0,21,61,91,34,44,29,694,117,38,52,243,122,190,987,223,202,139,334,195,159,186,94,388,93,178,158,297,571,237,0,255,135,98,144,115,57,367,121,113
transfaeries/DialoGPT-medium-Discord-1.0,309,86,94,0,71,220,225,362,257,203,188,137,227,0,133,1130,11,10,88,62,17,68,67,33,0,10,9,4,2,1,13,0,17,73,15,574,466,162,171,234,131,115,14,0,53,162,146,1308,718,324,510,343,266
izumi-lab/bert-small-japanese,,,,,,34,17,105,6,32,8,26,27,0,6,6,3,37,162,96,215,7,391,248,316,47,107,100,125,406,587,193,349,123,45,89,136,442,437,82,95,64,85,0,21,57,59,201,68,94,141,37,28
cointegrated/rubert-tiny2-cedr-emotion-detection,,,,,,,,,,,64,33,11,0,105,135,34,21,8,46,140,56,94,184,83,177,51,171,47,41,165,167,116,226,263,141,130,395,417,358,206,211,183,168,187,107,196,505,223,114,95,122,29
