Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
google/electra-base-discriminator,2479,8566,7437,9657,22048,15956,12311,15251,14190,0,8505,8760,15522,23285,18902,17740,5396
daigo/bert-base-japanese-sentiment,23900,275217,41185,2562,23313,28765,9546,6262,60017,59536,70640,71420,110329,110154,135966,91757,57955
dslim/bert-large-NER,179,26470,21622,29364,40274,29407,31655,21640,20454,58348,16973,19170,19300,22501,37135,28101,56356
oliverguhr/fullstop-punctuation-multilang-large,826,12628,10706,12032,10798,20024,9652,9996,9533,0,19077,9984,1741,1615,1853,2630,1595
neuralmind/bert-base-portuguese-cased,738,11023,10800,7919,9449,7749,9135,9452,7392,0,8592,9368,8234,8680,12950,15568,9286
google/electra-small-discriminator,835,32072,36596,13817,15095,22422,13249,22019,22457,0,51689,34402,25980,26551,28404,42374,48103
Jean-Baptiste/roberta-large-ner-english,814,7431,3540,8727,10336,10367,11378,12454,12494,9530,9278,8970,10542,11455,8867,9260,4837
google/pegasus-xsum,4257,15185,7203,5833,7014,5264,4659,5201,10422,0,18673,15429,18626,19161,13592,17371,24648
facebook/dpr-ctx_encoder-single-nq-base,763,13298,11067,18868,13498,9091,6918,7816,10362,5076,6873,8789,12312,13084,11810,11837,10835
hfl/chinese-macbert-base,69,1862,1464,8656,19624,14120,15484,16342,10748,0,3394,3808,6240,7134,8343,7359,4327
EleutherAI/gpt-neo-1.3B,189,4039,7378,3902,33296,18960,6828,5689,7269,5085,6805,6453,6011,9876,13625,30710,27755
facebook/dpr-question_encoder-single-nq-base,744,12248,11003,18168,12932,8437,7516,6305,7118,4782,6480,7540,10573,12938,10077,10061,9224
monologg/bert-base-cased-goemotions-original,744,10045,12957,10873,13809,14433,9807,18242,15715,0,7684,6292,5335,4745,4692,18411,6795
emilyalsentzer/Bio_ClinicalBERT,958,8085,11765,10534,10090,7672,5392,6649,9882,13702,19281,14695,5540,8054,5026,5965,5451
bhadresh-savani/distilbert-base-uncased-emotion,23,2654,3679,2992,2175,67858,31798,3247,3539,30509,56400,14240,9950,28846,23321,31966,36561
EleutherAI/gpt-neo-125M,723,57281,19030,4730,3099,3919,3082,3800,39956,3971,6047,5428,21678,13130,6194,18140,108596
tals/albert-xlarge-vitaminc-mnli,118,224,3505,97823,69752,221,14020,16564,278,0,30863,54551,177778,393067,120216,241371,229102
roberta-large-mnli,272,4603,200028,10104,22182,3427,11841,9487,4900,0,3631,4210,2556,5423,35109,2819,2809
sentence-transformers/bert-base-nli-mean-tokens,501,4740,5823,9063,30638,7989,4678,28174,12448,0,6982,30586,22752,14545,30455,39762,46528
finiteautomata/beto-sentiment-analysis,458,8626,12923,10861,9234,9057,14771,16490,14639,0,21567,17673,16386,15231,16445,28034,17193
microsoft/layoutlmv2-base-uncased,447,5985,6837,7840,13611,5743,6584,8014,6391,0,5613,9002,15385,25368,28236,24669,31332
cl-tohoku/bert-base-japanese,308,3084,3233,15351,10439,6168,7300,6978,11212,6550,15747,9119,8632,11716,6787,6379,7191
dbmdz/bert-large-cased-finetuned-conll03-english,536,6109,16020,11547,12364,10706,8223,6596,10375,11097,7327,6887,4706,9287,15396,4734,4238
gpt2-xl,475,6208,7316,4002,14889,19860,6629,72972,5571,0,17241,5274,10308,17289,18742,10012,14815
mrm8488/diltilgpt2-finetuned-bookcopus-10,8,90487,107574,105568,103421,6740,375,348,82,0,11,18,29,9,0,3,
valhalla/distilbart-mnli-12-1,471,8067,9430,7518,16356,6551,5178,10460,19088,0,5658,22474,15036,36220,7521,22022,16269
dslim/bert-base-NER-uncased,2713,24528,34859,34697,27415,1633,6268,30701,18132,21780,23170,17736,9930,5891,12037,7409,16068
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,607,4705,8797,13108,12843,13155,9595,12726,10261,0,14282,15933,16864,17192,17656,18756,17807
dbmdz/bert-base-italian-xxl-cased,858,5497,50135,70837,5547,7223,5998,13329,4479,17386,26908,14613,13109,7948,5531,4022,2825
allenai/longformer-base-4096,415,6573,8722,12246,4763,3516,4855,6757,8074,4798,5876,7220,6900,8055,7497,9468,7752
vinai/bertweet-base,12723,10060,9724,5783,10953,12882,7809,5489,4311,0,6949,51190,9636,6212,6903,8788,6682
dmis-lab/biobert-v1.1,417,4468,26706,13588,5042,8713,7560,13231,7627,4237,5567,6733,4992,2768,2403,3984,5189
facebook/blenderbot-400M-distill,583,4673,5456,3777,4348,7924,21271,6189,4297,2364,2411,2795,2677,2879,3012,2729,7838
facebook/mbart-large-50-many-to-many-mmt,115,1200,1097,2142,20398,1007,4293,5040,5442,4656,7202,15376,7200,4935,4689,2882,4843
oliverguhr/german-sentiment-bert,1058,11697,8340,13689,6717,10733,1548,2924,5509,0,10656,3770,29847,25028,2910,2961,4135
Helsinki-NLP/opus-mt-fi-en,227,4699,6018,5856,7963,29449,5087,4686,4225,4305,4020,3902,5512,3348,3478,3863,3838
google/mt5-small,479,7285,7974,5310,3753,4601,5197,4666,3960,0,2922,2722,5103,3174,3282,5456,1826
Helsinki-NLP/opus-mt-it-en,63,2878,3839,9992,15623,15678,15971,2828,2128,2488,2270,2325,4134,2155,2278,2788,2745
cross-encoder/ms-marco-electra-base,297,8491,20775,16248,17232,3095,710,786,3396,1131,984,1121,3343,744,6199,4515,2297
microsoft/deberta-v3-small,194,3621,7797,5427,6514,6445,4941,5038,1772,0,3309,5568,4294,5763,4280,2922,2144
EleutherAI/gpt-neo-2.7B,159,4187,5945,3248,6917,2908,3371,3993,3123,2828,5446,3137,3565,4153,4679,4947,9624
sentence-transformers/paraphrase-MiniLM-L6-v2,197,4095,3092,3982,6989,2857,6148,6365,8703,0,4801,5341,3423,3933,7612,6977,11875
sentence-transformers/paraphrase-xlm-r-multilingual-v1,582,5719,4915,5688,4834,3305,2687,3245,2348,0,6278,5888,6040,6115,4562,5499,6136
Norod78/hebrew-bad_wiki-gpt_neo-tiny,5222,52074,51762,48262,52752,3502,276,348,249,81,90,120,287,390,292,9,12
shibing624/code-autocomplete-distilgpt2-python,6123,59944,61387,60154,58998,3779,53,68,132,0,26,677,118,21,16,23,21
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,43,1089,4795,17985,7168,3086,6137,4774,2299,0,5396,3419,1335,3870,3677,3993,5253
cmarkea/distilcamembert-base-sentiment,131,1313,5295,7625,7382,6888,6400,6018,4686,7308,2315,2584,2116,1298,158,104,159
nntadotzip/xlnet-base-cased-IUChatbot-ontologyDts-BertPretrainedTokenizerFast,7625,76968,74429,71624,75975,5008,56,85,42,0,17,3,4,1,0,1,2
mrm8488/distilgpt2-finetuned-wsb-tweets,,42936,50202,49370,48632,3170,94,113,103,0,11,4,21,7,0,2,5
geralt/MechDistilGPT2,,48633,56811,57634,60468,3857,95,122,30,0,3,17,3,7,2,1,
bhadresh-savani/bert-base-go-emotion,10,380,359,355,411,63991,3098,53945,23493,448,237,9462,9244,11489,1608,962,20571
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,109,1792,1757,2018,2358,1836,1892,3186,2450,0,1749,2329,4700,5313,6043,4228,4227
patrickvonplaten/t5-tiny-random,438,6958,9857,8891,6386,6201,4828,7102,6895,0,5823,4481,7580,7783,6629,5752,3175
google/mt5-base,960,10313,3549,6580,6641,4165,10518,4282,6882,0,5600,7056,7034,6103,4468,3819,2907
typeform/distilbert-base-uncased-mnli,101,7830,8966,4176,4598,3250,3412,4553,3330,0,4181,6034,6330,6012,4494,5946,4546
dccuchile/bert-base-spanish-wwm-uncased,53,2026,13346,16910,11465,4440,1909,1739,1921,1582,1941,1644,1792,1669,1412,1889,1622
roberta-base-openai-detector,8789,68803,47821,29575,58,50,45,66,23,0,11,25,30,51,500,643,162
dbmdz/bert-base-german-uncased,80,401,1134,24601,4392,2583,1449,4823,1977,1087,903,2187,2826,5244,1119,2596,6516
sentence-transformers/all-MiniLM-L12-v2,34,969,1546,4865,568,948,24950,4461,2507,0,305022,11760,4425,4445,4230,5874,4485
echarlaix/bert-base-uncased-sst2-acc91.1-d37-hybrid,1,66,194,15809,23674,281,22542,17867,4840,480,43890,8738,362,27460,241,317,436
google/bigbird-roberta-base,85,2244,2825,3665,5172,2450,2765,3266,5292,0,1817,6650,3645,3397,4728,2593,1406
princeton-nlp/unsup-simcse-bert-base-uncased,82,3556,3389,2904,3329,3072,7159,18773,13954,0,2203,3283,3223,4716,2279,3050,2518
openai-gpt,264,1295,1906,2326,2115,2337,2337,2892,3657,0,2503,2496,2780,3103,3535,2479,2487
sentence-transformers/all-distilroberta-v1,204,3054,2034,1735,2647,1811,1411,1968,2061,0,2809,3354,2733,4635,2946,2527,3510
arpanghoshal/EmoRoBERTa,32,421,12993,27459,483,7127,612,1029,7775,1122,4683,874,1617,8033,1923,3476,79748
dbmdz/bert-base-german-cased,58,250,14733,54428,39925,1798,1079,3099,2410,1349,1747,1423,1148,330,1226,949,979
yjernite/retribert-base-uncased,,844,837,745,713,511,628,396,988,0,1326,1775,32883,54289,36657,2974,1275
albert-base-v1,28,1841,1392,1074,1472,3490,39109,4103,1403,1004,969,1078,1112,1302,11466,19859,2459
fnlp/bart-base-chinese,204,2383,2401,1591,1657,987,1868,2001,2166,0,2209,2143,1282,1548,1408,1936,1534
microsoft/deberta-v2-xlarge,318,1455,1267,1874,1000,1384,2178,2836,1476,0,572,1367,973,2185,1643,1326,1768
airesearch/wangchanberta-base-att-spm-uncased,34,1201,2550,3187,1462,880,1539,1085,1152,2724,2791,1142,3982,840,2218,906,1645
