,model_name
6216,Helsinki-NLP/opus-mt-gl-es
7993,Helsinki-NLP/opus-mt-sk-fi
27610,Helsinki-NLP/opus-mt-fr-hil
15714,Helsinki-NLP/opus-mt-fr-rw
15707,Helsinki-NLP/opus-mt-de-nl
7961,Helsinki-NLP/opus-mt-fi-nl
8054,Helsinki-NLP/opus-mt-sl-es
25789,Helsinki-NLP/opus-mt-fi-sq
17747,Helsinki-NLP/opus-mt-es-el
7692,Helsinki-NLP/opus-mt-run-en
2097,Helsinki-NLP/opus-mt-ml-en
15841,Helsinki-NLP/opus-mt-gil-es
25889,Helsinki-NLP/opus-mt-kqn-es
25878,Helsinki-NLP/opus-mt-nso-de
16969,Helsinki-NLP/opus-mt-efi-fi
4950,Helsinki-NLP/opus-mt-lt-sv
7899,Helsinki-NLP/opus-mt-es-nso
6299,Helsinki-NLP/opus-mt-rw-es
29446,Helsinki-NLP/opus-mt-lg-fr
15806,Helsinki-NLP/opus-mt-et-sv
15795,Helsinki-NLP/opus-mt-fr-run
25828,Helsinki-NLP/opus-mt-es-it
3039,Helsinki-NLP/opus-mt-efi-fr
2048,Helsinki-NLP/opus-mt-jap-en
6254,Helsinki-NLP/opus-mt-fr-sg
26746,Helsinki-NLP/opus-mt-de-ee
8393,Helsinki-NLP/opus-mt-eo-sv
27614,Helsinki-NLP/opus-mt-it-es
29503,Helsinki-NLP/opus-mt-ig-de
1902,Helsinki-NLP/opus-mt-en-iso
29534,Helsinki-NLP/opus-mt-ar-en
8292,Helsinki-NLP/opus-mt-sm-fr
26791,Helsinki-NLP/opus-mt-de-gaa
8298,Helsinki-NLP/opus-mt-fr-tn
25514,Helsinki-NLP/opus-mt-fi-uk
8322,Helsinki-NLP/opus-mt-sv-fj
4827,Helsinki-NLP/opus-mt-sv-id
27650,Helsinki-NLP/opus-mt-lv-en
25496,Helsinki-NLP/opus-mt-fr-ilo
29552,Helsinki-NLP/opus-mt-de-ny
21015,Helsinki-NLP/opus-mt-en-tll
29553,Helsinki-NLP/opus-mt-es-bzs
28794,Helsinki-NLP/opus-mt-sv-rw
19464,Helsinki-NLP/opus-mt-en-ro
15564,Helsinki-NLP/opus-mt-gil-fr
11261,Helsinki-NLP/opus-mt-pag-sv
16993,Helsinki-NLP/opus-mt-es-ha
29531,Helsinki-NLP/opus-mt-st-es
15619,Helsinki-NLP/opus-mt-fr-gaa
6208,Helsinki-NLP/opus-mt-gl-en
8108,Helsinki-NLP/opus-mt-ceb-sv
20954,Helsinki-NLP/opus-mt-bn-en
20480,Helsinki-NLP/opus-mt-ig-sv
4839,Helsinki-NLP/opus-mt-sv-nso
26790,Helsinki-NLP/opus-mt-fi-iso
20961,Helsinki-NLP/opus-mt-bg-fi
27645,Helsinki-NLP/opus-mt-da-es
17727,Helsinki-NLP/opus-mt-sv-en
8196,Helsinki-NLP/opus-mt-sv-lua
8204,Helsinki-NLP/opus-mt-bzs-es
19477,Helsinki-NLP/opus-mt-sv-ru
15631,Helsinki-NLP/opus-mt-es-ber
8217,Helsinki-NLP/opus-mt-de-el
3073,Helsinki-NLP/opus-mt-hil-fi
6188,Helsinki-NLP/opus-mt-ber-es
20477,Helsinki-NLP/opus-mt-ilo-sv
3538,Helsinki-NLP/opus-mt-fi-tr
9629,Helsinki-NLP/opus-mt-bg-en
22975,Helsinki-NLP/opus-mt-sv-lus
30338,Helsinki-NLP/opus-mt-en-om
21895,Helsinki-NLP/opus-mt-de-lt
28542,Helsinki-NLP/opus-mt-es-lus
13145,Helsinki-NLP/opus-mt-fr-ru
595,Helsinki-NLP/opus-mt-fr-de
13170,Helsinki-NLP/opus-mt-cs-fr
11963,Helsinki-NLP/opus-mt-ceb-en
11960,Helsinki-NLP/opus-mt-kqn-en
11948,Helsinki-NLP/opus-mt-bcl-fi
18778,Helsinki-NLP/opus-mt-lg-sv
23236,Helsinki-NLP/opus-mt-fr-ceb
149,Helsinki-NLP/opus-mt-es-tzo
11928,Helsinki-NLP/opus-mt-niu-en
19120,Helsinki-NLP/opus-mt-mos-en
23251,Helsinki-NLP/opus-mt-fi-ru
11900,Helsinki-NLP/opus-mt-es-fr
3969,Helsinki-NLP/opus-mt-en-sn
28216,Helsinki-NLP/opus-mt-fi-is
13188,Helsinki-NLP/opus-mt-id-fi
23269,Helsinki-NLP/opus-mt-es-pag
13675,Helsinki-NLP/opus-mt-en-kg
21867,Helsinki-NLP/opus-mt-fi-mfe
14204,Helsinki-NLP/opus-mt-lus-fi
13690,Helsinki-NLP/opus-mt-fi-ve
11999,Helsinki-NLP/opus-mt-fi-ty
21901,Helsinki-NLP/opus-mt-en-af
30577,Helsinki-NLP/opus-mt-fi-bg
13743,Helsinki-NLP/opus-mt-sv-lv
18949,Helsinki-NLP/opus-mt-es-ho
3410,Helsinki-NLP/opus-mt-sg-sv
22550,Helsinki-NLP/opus-mt-fi-lu
17395,Helsinki-NLP/opus-mt-sg-fr
28416,Helsinki-NLP/opus-mt-de-he
3491,Helsinki-NLP/opus-mt-lua-fi
186,Helsinki-NLP/opus-mt-sv-sk
23116,Helsinki-NLP/opus-mt-sv-kg
13079,Helsinki-NLP/opus-mt-kg-sv
23120,Helsinki-NLP/opus-mt-ca-de
14208,Helsinki-NLP/opus-mt-fi-ln
12113,Helsinki-NLP/opus-mt-ln-fr
552,Helsinki-NLP/opus-mt-sv-ny
23140,Helsinki-NLP/opus-mt-hr-es
19102,Helsinki-NLP/opus-mt-fi-pon
13721,Helsinki-NLP/opus-mt-bzs-sv
18797,Helsinki-NLP/opus-mt-es-ee
12067,Helsinki-NLP/opus-mt-de-en
14123,Helsinki-NLP/opus-mt-fi-toi
12047,Helsinki-NLP/opus-mt-loz-fr
12042,Helsinki-NLP/opus-mt-en-kqn
12024,Helsinki-NLP/opus-mt-sv-iso
22519,Helsinki-NLP/opus-mt-sv-pap
21916,Helsinki-NLP/opus-mt-sv-swc
19035,Helsinki-NLP/opus-mt-fi-tn
14211,Helsinki-NLP/opus-mt-sv-pon
23284,Helsinki-NLP/opus-mt-es-pap
13650,Helsinki-NLP/opus-mt-es-ty
11696,Helsinki-NLP/opus-mt-lue-es
22195,Helsinki-NLP/opus-mt-es-srn
102,Helsinki-NLP/opus-mt-nso-sv
28636,Helsinki-NLP/opus-mt-en-luo
717,Helsinki-NLP/opus-mt-pis-fr
13287,Helsinki-NLP/opus-mt-fr-pis
14270,Helsinki-NLP/opus-mt-fr-kg
23402,Helsinki-NLP/opus-mt-lus-sv
13304,Helsinki-NLP/opus-mt-mk-fr
11659,Helsinki-NLP/opus-mt-en-bi
30261,Helsinki-NLP/opus-mt-efi-sv
17583,Helsinki-NLP/opus-mt-niu-sv
23438,Helsinki-NLP/opus-mt-csg-es
13314,Helsinki-NLP/opus-mt-sv-ase
22412,Helsinki-NLP/opus-mt-en-el
11611,Helsinki-NLP/opus-mt-ht-fi
